ཀ ཀ {'rel_weight': 0.9985115184758103, 'rel_center': 0.9998251246920735, 'rel_inertia': 0.9999334299442962}
ཀ ཁ {'rel_weight': 0.9980934594403004, 'rel_center': 0.9984087308358709, 'rel_inertia': 0.9997348452254775}
ཀ ག {'rel_weight': 0.993912869085201, 'rel_center': 0.999697608747581, 'rel_inertia': 0.9999125447627402}
ཀ ང {'rel_weight': 0.9963184847850501, 'rel_center': 0.9981978090750474, 'rel_inertia': 0.999626321988622}
ཀ ཅ {'rel_weight': 0.995688226456, 'rel_center': 0.998816838823468, 'rel_inertia': 0.9996584382739916}
ཀ ཆ {'rel_weight': 0.9912595877398314, 'rel_center': 0.9988408827740316, 'rel_inertia': 0.9997088732709384}
ཀ ཇ {'rel_weight': 0.9943894563856824, 'rel_center': 0.9978451829140984, 'rel_inertia': 0.9997128577230879}
ཀ ཉ {'rel_weight': 0.9924162177380755, 'rel_center': 0.9990407109564257, 'rel_inertia': 0.9999350840413801}
ཀ ཏ {'rel_weight': 0.9958610241906773, 'rel_center': 0.9987844241618349, 'rel_inertia': 0.9998867797503136}
ཀ ཐ {'rel_weight': 0.9954346039744573, 'rel_center': 0.9991365287649183, 'rel_inertia': 0.9996521463261849}
ཀ ད {'rel_weight': 0.9963376114911587, 'rel_center': 0.9987471291921559, 'rel_inertia': 0.999886053858604}
ཀ ན {'rel_weight': 0.9909557981740275, 'rel_center': 0.9987925606539791, 'rel_inertia': 0.9999371985660412}
ཀ པ {'rel_weight': 0.9950531594375733, 'rel_center': 0.9988715380654922, 'rel_inertia': 0.9995855815915196}
ཀ ཕ {'rel_weight': 0.9980994162763225, 'rel_center': 0.9988231566247617, 'rel_inertia': 0.999612962211748}
ཀ བ {'rel_weight': 0.9980325268306408, 'rel_center': 0.9986690365876444, 'rel_inertia': 0.9996789377656699}
ཀ མ {'rel_weight': 0.9969786353456073, 'rel_center': 0.9985860462432018, 'rel_inertia': 0.9996503637731201}
ཀ ཙ {'rel_weight': 0.9895176750918733, 'rel_center': 0.9975228406310683, 'rel_inertia': 0.9998872124683303}
ཀ ཚ {'rel_weight': 0.985295278833223, 'rel_center': 0.9977556241811475, 'rel_inertia': 0.9998360611658419}
ཀ ཛ {'rel_weight': 0.9884223604188372, 'rel_center': 0.9972710811036689, 'rel_inertia': 0.9998224289710149}
ཀ ཝ {'rel_weight': 0.9959084042147018, 'rel_center': 0.9995410811802254, 'rel_inertia': 0.9996533973035916}
ཀ ཞ {'rel_weight': 0.9890048560083144, 'rel_center': 0.9989262798335441, 'rel_inertia': 0.9998219946413681}
ཀ ཟ {'rel_weight': 0.9981073947414841, 'rel_center': 0.9989289850223849, 'rel_inertia': 0.999647945259627}
ཀ འ {'rel_weight': 0.997489050084478, 'rel_center': 0.9990307263667924, 'rel_inertia': 0.9995670686898327}
ཀ ཡ {'rel_weight': 0.9969650827599722, 'rel_center': 0.9990674649683869, 'rel_inertia': 0.9995165391804551}
ཀ ར {'rel_weight': 0.9927872794651096, 'rel_center': 0.9987743403432883, 'rel_inertia': 0.9995757225935424}
ཀ ལ {'rel_weight': 0.9932666538258276, 'rel_center': 0.9987582899536184, 'rel_inertia': 0.9995513785612956}
ཀ ཤ {'rel_weight': 0.9961425172745874, 'rel_center': 0.9987936816105275, 'rel_inertia': 0.999925238202325}
ཀ ས {'rel_weight': 0.9983554431025533, 'rel_center': 0.9983628083860735, 'rel_inertia': 0.9996740510676297}
ཀ ཧ {'rel_weight': 0.9940243514946704, 'rel_center': 0.9987949474768105, 'rel_inertia': 0.9999107624582525}
ཀ ཨ {'rel_weight': 0.9933080770138301, 'rel_center': 0.9989489720208652, 'rel_inertia': 0.9996686181581682}
ཀ ཀྵ {'rel_weight': 0.9726280900572719, 'rel_center': 0.9957654337697741, 'rel_inertia': 0.9992245592367072}
ཀ ཪ {'rel_weight': 0.9926702229351667, 'rel_center': 0.9986901082977251, 'rel_inertia': 0.9995908423533166}
ཀ ཫ {'rel_weight': 0.9865359033541177, 'rel_center': 0.9989124577900912, 'rel_inertia': 0.9996760782480577}
ཀ ཬ {'rel_weight': 0.9865359033541177, 'rel_center': 0.9989124577900912, 'rel_inertia': 0.9996760782480577}
ཁ ཀ {'rel_weight': 0.9989030234807704, 'rel_center': 0.9986497582920825, 'rel_inertia': 0.9996243682304996}
ཁ ཁ {'rel_weight': 0.9984849644452605, 'rel_center': 0.9997969586075871, 'rel_inertia': 0.9999455030040975}
ཁ ག {'rel_weight': 0.9943043740901611, 'rel_center': 0.9988400705026553, 'rel_inertia': 0.9996131866854254}
ཁ ང {'rel_weight': 0.99592697978009, 'rel_center': 0.9995119314390691, 'rel_inertia': 0.9999167980455992}
ཁ ཅ {'rel_weight': 0.9960797314609601, 'rel_center': 0.9996644464033065, 'rel_inertia': 0.9999378240015996}
ཁ ཆ {'rel_weight': 0.9916510927447915, 'rel_center': 0.999715703636084, 'rel_inertia': 0.9999627337994611}
ཁ ཇ {'rel_weight': 0.9947809613906425, 'rel_center': 0.9992345849617374, 'rel_inertia': 0.999962643347166}
ཁ ཉ {'rel_weight': 0.9928077227430356, 'rel_center': 0.9978835409315203, 'rel_inertia': 0.9997530444006832}
